"","cnum","country","ccode"
"1",214,"Antigua and Barbuda","ATG"
"2",216,"Argentina","ARG"
"3",218,"Bahamas","BHS"
"4",219,"Barbados","BRB"
"5",220,"Belize","BLZ"
"6",221,"Bolivia (Plurinational State of)","BOL"
"7",222,"Brazil","BRA"
"8",223,"The Caribbean",""
"9",224,"Chile","CHL"
"10",225,"Colombia","COL"
"11",226,"Costa Rica","CRI"
"12",228,"Dominica","DMA"
"13",229,"Ecuador","ECU"
"14",230,"El Salvador","SLV"
"15",233,"Mexico","MEX"
"16",234,"Grenada","GRD"
"17",235,"Guatemala","GTM"
"18",237,"Guyana","GUY"
"19",238,"Haiti","HTI"
"20",239,"Honduras","HND"
"21",240,"Nicaragua","NIC"
"22",241,"Panama","PAN"
"23",242,"Paraguay","PRY"
"24",244,"Peru","PER"
"25",246,"Jamaica","JAM"
"26",249,"Cuba","CUB"
"27",256,"Trinidad and Tobago","TTO"
"28",257,"Saint Kitts and Nevis","KNA"
"29",258,"Uruguay","URY"
"30",259,"Venezuela (Bolivarian Republic of)","VEN"
"31",260,"Saint Vincent and the Grenadines","VCT"
"32",262,"Saint Lucia","LCA"
"33",263,"Suriname","SUR"
"34",264,"Dominican Republic","DOM"
