cnum,country,ccode
214,Antigua and Barbuda,ATG
216,Argentina,ARG
218,Bahamas,BHS
219,Barbados,BRB
220,Belize,BLZ
221,Bolivia,BOL
222,Brazil,BRA
223,The Caribbean,
224,Chile,CHL
225,Colombia,COL
226,Costa Rica,CRI
228,Dominica,DMA
229,Ecuador,ECU
230,El Salvador,SLV
233,Mexico,MEX
234,Grenada,GRD
235,Guatemala,GTM
237,Guyana,GUY
238,Haiti,HTI
239,Honduras,HND
240,Nicaragua,NIC
241,Panama,PAN
242,Paraguay,PRY
244,Peru,PER
246,Jamaica,JAM
249,Cuba,CUB
256,Trinidad and Tobago,TTO
257,Saint Kitts and Nevis,KNA
258,Uruguay,URY
259,Venezuela,VEN
260,Saint Vincent and the Grenadines,VCT
262,Saint Lucia,LCA
263,Suriname,SUR
264,Dominican Republic,DOM
