ccode,year,pinktide
ARG,2009,1
ARG,2010,1
ARG,2011,1
ARG,2012,1
ARG,2013,1
ARG,2014,1
ARG,2015,1
ARG,2016,0
ARG,2017,0
ARG,2018,0
ARG,2019,0
ARG,2020,1
ARG,2008,1
ARG,2002,0
ARG,2003,1
ARG,2004,1
ARG,2005,1
ARG,2006,1
ARG,2007,1
BRA,2003,1
BRA,2002,0
BRA,2004,1
BRA,2005,1
BRA,2006,1
BRA,2007,1
BRA,2008,1
BRA,2009,1
BRA,2010,1
BRA,2011,1
BRA,2012,1
BRA,2013,1
BRA,2014,1
BRA,2015,1
BRA,2016,0
BRA,2017,0
BRA,2018,0
BRA,2019,0
CHL,2002,1
CHL,2003,1
CHL,2004,1
CHL,2005,1
CHL,2006,1
CHL,2007,1
CHL,2008,1
CHL,2009,1
CHL,2010,0
CHL,2011,0
CHL,2012,0
CHL,2013,0
CHL,2014,1
CHL,2015,1
CHL,2016,1
CHL,2017,1
COL,2001,0
COL,2002,0
COL,2003,0
COL,2004,0
COL,2005,0
COL,2006,0
COL,2007,0
COL,2008,0
COL,2009,0
COL,2010,0
COL,2011,0
COL,2012,0
COL,2013,0
COL,2014,0
COL,2015,0
COL,2016,0
COL,2017,0
CRI,2007,0
CRI,2010,0
CRI,2011,0
CRI,2012,0
CRI,2013,0
CRI,2014,1
CRI,2015,1
CRI,2016,1
CRI,2017,1
CRI,2018,1
CRI,2000,0
CRI,2001,0
CRI,2002,0
ECU,2004,0
ECU,2005,0
ECU,2006,0
ECU,2007,1
ECU,2008,1
ECU,2009,1
ECU,2010,1
ECU,2011,1
ECU,2012,1
ECU,2013,1
ECU,2014,1
ECU,2015,1
ECU,2016,1
ECU,2017,1
ECU,2000,0
ECU,2003,0
GTM,2012,0
GTM,2013,0
GTM,2014,0
GTM,2015,0
GTM,2016,0
GTM,2017,0
GTM,2018,0
GTM,2008,0
GTM,2009,0
GTM,2010,0
GTM,2011,0
HND,2010,0
HND,2012,0
HND,2013,0
HND,2014,0
HND,2015,0
HND,2016,0
HND,2017,0
HND,2001,0
HND,2002,0
HND,2003,0
HND,2004,0
HND,2005,0
HND,2006,1
HND,2007,1
HND,2008,1
HND,2009,0
MEX,2000,0
MEX,2001,0
MEX,2002,0
MEX,2003,0
MEX,2004,0
MEX,2005,0
MEX,2006,0
MEX,2007,0
MEX,2008,0
MEX,2009,0
MEX,2010,0
MEX,2011,0
MEX,2012,0
MEX,2013,0
MEX,2014,0
