ccode,country,cnum,year,cct_cov_n_households,household_size,cct_cov_n_people,cct_xpnd_pctGDP,cct_loc_cur_max_ph,cct_USD_max_ph,month_inc_wageearn_lc,source,cct_vis_med_income_wageearner,program_rank,poverty_rate,pop,poverty_n,pen_rate_waged_all,pen_rate_non_waged_all,pen_rate_occup_all,pen_gap_waged_non_waged_all,pen_gap_waged_occup_1,pen_gap_waged_occup_2,pen_gap_waged_occup_3,pen_gap_waged_occup_4,pen_gap_waged_occup_5,pen_gap_waged_occup_all,pen_diff_q1q5_waged,pen_diff_q1q5_occup,occup_no_pension,elderly_covered_any_pension,elderly_covered_cont,elderly_covered_ncp,elderly_no_pension,elderly_not_covered_cont,only_ncp,priv_pens_pct_gdp,pencont_adm,priv_health_exp_pc_USD,priv_health_exp_pc_ppp,priv_health_exp_pct,oop_health_exp_pc_USD,oop_health_exp_pc_ppp,oop_health_exp_pct,cat_hexp_risk,govt_hexp_pctGDP_WB,UHC_index,one_minus_UHC,cat_hexp_sec,primschoolenrol,upsecschoolenrol,pct_priv_primschool,pct_priv_secschool,ec_enr_rate,ecdev_enr_rate,preprim_enr_rate,pct_priv_ec,pct_priv_preprim,pct_priv_ecdev,total_social_xpnd_pctGDP,envir_xpnd_pctGDP,housing_xpnd_pctGDP,health_pub_xpnd_pctGDP,recreation_xpnd_pctGDP,educ_xpnd_pctGDP,soc_prot_xpnd_pctGDP,gov_hexp_ppp_WB,educ_exp_pctGDP_WB,usd_2010_cpi_index,gov_hexp_ppp_WB_cnstnt,mat_leave_weeks,mat_rep_rate,mat_funding,pat_leave_days,leave_gender_bias,cct_program,pen_repl_rate_median_income,ncp_vis_cont
ARG,Argentina,216,2009,1791923,4.4,7884461.2,2.5842810810356305e-4,900,970.3224635966209,1871.02808616048,SEDLAC 2021,0.481018968478919,1,0.24600000000000002,40482788,9958765.848000001,0.68,-0.04764227642276449,0.501,0.7276422764227646,0.10500000000000004,0.129,0.15500000000000003,0.16600000000000004,0.21699999999999997,0.17900000000000005,0.584,0.47200000000000003,0.499,0.924,0.909,0.016,0.07599999999999996,0.09099999999999997,0.016,0,0.654,312.31955033,614.01396447,39.75198746,205.74422699,404.48901884000003,26.18709564,5.2,5.66982412,NA,NA,94.8,0.9979281,0.8147612,23.1661701202393,26.0257091522217,0.360718348000038,0.0428073921788867,0.680510358454313,33.26535,32.39264,47.0573,11.240004,0.042999,0.631614,0.751269,NA,1.37382,8.440302,1584.1998291,5.53105020523071,98.3864199710624,1610.1813945115066,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2010,1849324,4.4,8137025.600000001,0.0038152325551771573,1100,1129.2778974794976,2270.8161653368406,SEDLAC 2021,0.4844073319501105,1,0.26,40895752,10632895.52,0.7040000000000001,-0.037228070175438825,0.535,0.7412280701754389,0.12399999999999997,0.12200000000000005,0.1489999999999999,0.15900000000000003,0.20300000000000018,0.16900000000000004,0.5240000000000001,0.44499999999999995,0.46499999999999997,0.9259999999999999,0.915,0.012,0.07400000000000007,0.08499999999999996,0.012,0,0.675,401.21882204,693.06915808,40.73145676,263.79319601,455.67884213,26.78010178,4.2,5.56834602,0.71,0.29000000000000004,95.8,0.9939627,0.8322139,23.6371002197266,25.3657398223877,0.365918363994098,0.0448322257894538,0.688922474075016,32.9814,32.14114,45.81682,11.067664,0.04928,0.523162,0.690676,NA,1.319036,8.48551,1745.16809082,5.01971006393433,100,1745.1680908200003,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2011,1883822,4.3,8100434.6,0.004147111797470996,1350,1313.8239954797616,2852.3433429211937,SEDLAC 2021,0.4732950552220034,1,0.23399999999999999,41320500,9668997,0.698,-0.040938053097344815,0.531,0.7389380530973447,0.11299999999999999,0.14100000000000007,0.14100000000000001,0.1509999999999999,0.20100000000000007,0.16699999999999993,0.539,0.45099999999999996,0.469,0.934,0.925,0.009000000000000001,0.06599999999999995,0.07499999999999996,0.009000000000000001,0,0.608,472.4630752,710.50068136,39.09850311,324.97228656,488.70069037,26.89295959,2.8,5.68118334,NA,NA,97.2,0.994341,0.8519448,23.9507503509521,25.4569702148438,0.366869567786454,0.0470951842386908,0.688740467384166,32.90877,31.97528,46.47153,11.292293,0.084354,0.524212,0.700942,NA,1.507014,8.475771,1863.78125,5.29062986373901,103.156841568622,1806.745167512884,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2012,1787404,4.5,8043318,0.004233865972333021,1700,1322.4789083684448,3708.985741701404,SEDLAC 2021,0.4583463292636352,1,0.218,41755196,9102632.728,0.693,-0.029943722943722734,0.526,0.7229437229437227,0.119,0.136,0.13899999999999996,0.16199999999999992,0.19699999999999995,0.16699999999999993,0.508,0.43000000000000005,0.474,0.924,0.9159999999999999,0.008,0.07599999999999996,0.08400000000000007,0.008,0,0.6829999999999999,507.02997908,714.80790968,37.05213928,356.98677134,503.27786982,26.08745956,1.6,6.13486385,NA,NA,98.4,0.9942824,0.8679378,24.7365093231201,26.105110168457,0.3757268392943,0.0499062808909268,0.705896465282647,33.03605,31.97669,47.82275,12.139709999999999,0.059721,0.48461,0.743099,NA,1.476777,9.375503,1941.26330566,5.34582996368408,105.291504532867,1843.7036437769107,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2013,1892017,4.4,8324874.800000001,0.004720231235576717,2300,1373.7892495119027,4683.99842208237,SEDLAC 2021,0.4910334702840243,1,0.221,42196030,9325322.63,0.703,-0.026613733905579452,0.5329999999999999,0.7296137339055794,0.121,0.132,0.15200000000000002,0.16300000000000003,0.19099999999999995,0.17000000000000004,0.533,0.4630000000000001,0.4670000000000001,0.9079999999999999,0.902,0.006,0.09200000000000008,0.09799999999999998,0.006,0,0.7040000000000001,511.18446426,708.13492678,35.95693588,381.25185129,528.14154317,26.81741714,1.6,6.22041893,NA,NA,98.4,0.9959191,0.871682,25.323070526123,26.2310695648193,0.382366343081611,0.0498695224327203,0.722495720757278,33.17585,31.59439,55.57353,13.017821,0.057668,0.776974,0.853461,NA,1.551333,9.778385,1992.28222656,5.43661022186279,106.833848874866,1864.8417589948958,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2014,1984852,4.5,8931834,0.004829539112433023,3220,1300.2651561809853,6055.370958330618,SEDLAC 2021,0.5317593293884194,1,0.249,42637511,10616740.239,0.6990000000000001,-0.034050847457627306,0.526,0.7330508474576274,0.12400000000000005,0.137,0.15499999999999997,0.15799999999999992,0.19000000000000006,0.17300000000000004,0.5269999999999999,0.46099999999999997,0.474,0.899,0.894,0.005,0.10099999999999998,0.10599999999999998,0.005,0,0.743,437.93207499,648.65109808,34.04805756,347.82034884,515.18046769,27.04210854,1.7,6.32730198,NA,NA,98.3,0.9990196,0.8718768,25.7752304077148,26.1535606384277,0.387381695472051,0.0506614894234592,0.732492047048469,33.29021,31.67898,56.01981,13.024336,0.062222,0.851349,0.859409,NA,1.542371,9.708985,1936.51623535,5.36144018173218,108.566932118964,1783.7072463538257,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2015,2059831,4.5,9269239.5,0.0057159149729997215,4185,1481.9731821366092,7694.866663889643,SEDLAC 2021,0.5438690730846977,1,NA,43075416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.723,505.42655876,679.62783381,33.00239563,397.15023056,534.03278126,25.93237495,1.7,6.8243742,0.76,0.24,98.3,0.999437,0.8896875,26.1601905822754,26.5171394348145,0.39538131893222,0.0523092337316121,0.746931568576855,33.23963,31.57347,56.45721,14.069208,0.055387,0.770255,0.941903,NA,1.65933,10.642333,2105.07617188,5.77611017227173,108.695721960693,1936.6688347138872,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2016,2206360,4.3,9487348,0.00613436800716483,5515,1616.2510964603646,11478.615350640457,SEDLAC 2021,0.48045864693011836,1,0.215,43508460,9354318.9,0.695,-1.2195121951209143e-4,0.524,0.695121951219512,0.124,0.127,0.16499999999999992,0.17000000000000004,0.19399999999999995,0.17099999999999993,0.503,0.43300000000000005,0.476,0.9229999999999999,0.9209999999999999,0.002,0.07700000000000007,0.07900000000000007,0.002,0,0.722,433.50085994,688.29533875,37.58023834,341.08405055,541.55962263,29.56861496,2.1,5.59118652,NA,NA,97.9,0.9954761000000001,0.9058749,26.3700103759766,26.5493392944336,0.399768239922899,0.0541604227741813,0.753311913749753,33.1455,31.44875,56.2156,14.181784,0.06136,0.541201,0.903127,NA,1.569615,11.106481,1815.53039551,5.54548978805542,110.06700893427,1649.4773620987569,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2017,2210830,4.3,9506569,0.005639237942762322,7060,1837.4110063980825,13697.139145862853,SEDLAC 2021,0.5154361012775748,1,0.187,43937140,8216245.18,0.691,5.238095238096071e-4,0.517,0.6904761904761904,0.13399999999999995,0.135,0.15600000000000003,0.17099999999999993,0.20500000000000007,0.17399999999999993,0.48800000000000004,0.4169999999999999,0.483,0.925,0.924,0.001,0.07499999999999996,0.07599999999999996,0.001,0,0.706,556.30485353,898.32060897,36.36763763,395.28476169,638.30550027,25.84117699,1.6,6.59935617,0.76,0.24,98.4,0.9956731000000001,0.8960009999999999,26.6536102294922,26.8304004669189,0.405492315750761,0.0551288106588004,0.760847263508038,33.17453,31.45019,56.63838,14.617,0.06578,0.406089,0.891165,NA,1.548891,11.70508,2184.91918945,5.46223020553589,112.411557302308,1943.678427631871,13,1,ss,2,no paternal,AUH,77.5,77
ARG,Argentina,216,2018,2234187,4.2,9383585.4,0.006050908482340144,9080,1400.0271104072804,17664.030318127392,SEDLAC 2021,0.51403897278651145,1,0.244,44361150,10824120.6,0.688,-0.002196078431372133,0.512,0.6901960784313721,0.11799999999999997,0.136,0.16400000000000003,0.16499999999999992,0.20900000000000007,0.17599999999999993,0.5460000000000002,0.45500000000000007,0.488,NA,NA,NA,NA,NA,NA,0,NA,431.89842985,865.53487858,38.2912941,312.76915155,626.79692933,27.72951698,1.8,5.93580294,NA,NA,98.2,0.9959655,0.8881147,NA,NA,0.413368335980876,0.0556373063632773,0.772012078653063,32.74138,31.07537,55.79977,13.56112,0.056108,0.374465,0.816406,NA,1.316681,10.99746,1989.63562012,NA,115.157303224791,1727.7546142567817,13,1,ss,2,no paternal,AUH,77.5,77
